Model,Condition_Row,Condition_Col,dCor_Sq,ci_lo,ci_hi
deepseek,On Different Rubric Items,Between-LLMs Correlations,0.19795603138280768,0.10278520161559221,0.2789526499783253
gemini-2.5-flash,On Different Rubric Items,Between-LLMs Correlations,0.18875554037505574,0.0970267097528319,0.2652708708862458
gpt-4.1,On Different Rubric Items,Between-LLMs Correlations,0.17373926547387253,0.08275745083883125,0.254254393900032
o3,On Different Rubric Items,Between-LLMs Correlations,0.18856104720509115,0.09861320870387902,0.26584572684961905
sonnet-4.6,On Different Rubric Items,Between-LLMs Correlations,0.17858388955267315,0.08634250322936295,0.25903953342374997
deepseek,On Different Rubric Items,Human-LLM Correlations,0.33181857936412484,0.21151934251045568,0.4249580181399029
gemini-2.5-flash,On Different Rubric Items,Human-LLM Correlations,0.3084518861285055,0.20019148827707517,0.397949528630469
gpt-4.1,On Different Rubric Items,Human-LLM Correlations,0.2802724809333373,0.16477960530347163,0.37441482717204144
o3,On Different Rubric Items,Human-LLM Correlations,0.3013711548597458,0.1932803432532146,0.3932844542085872
sonnet-4.6,On Different Rubric Items,Human-LLM Correlations,0.28766658977405785,0.16915290287236698,0.3841635345230973
deepseek,On Different Rubric Items,Within-LLM Correlations,0.22373935969693606,0.1212297619566831,0.30788934583053373
gemini-2.5-flash,On Different Rubric Items,Within-LLM Correlations,0.1891591784522723,0.10224048749899096,0.26905623200456796
gpt-4.1,On Different Rubric Items,Within-LLM Correlations,0.16076610739504585,0.07137937332871101,0.24208068197154362
o3,On Different Rubric Items,Within-LLM Correlations,0.18977623990522666,0.10235803654522124,0.26788115050977845
sonnet-4.6,On Different Rubric Items,Within-LLM Correlations,0.16524756431374188,0.07170672772399547,0.24949595394443394
deepseek,On the Same Rubric Item,Between-LLMs Correlations,0.7511595607406634,0.5635437261460693,0.8350417316998766
gemini-2.5-flash,On the Same Rubric Item,Between-LLMs Correlations,0.7406601732869265,0.5492711306973571,0.8251579488554973
gpt-4.1,On the Same Rubric Item,Between-LLMs Correlations,0.6784295610992074,0.535599972018532,0.7918341979045678
o3,On the Same Rubric Item,Between-LLMs Correlations,0.7627778220834945,0.5729830924448049,0.8461527982040785
sonnet-4.6,On the Same Rubric Item,Between-LLMs Correlations,0.7189297995240262,0.5679776090657173,0.8227823798310709
deepseek,On the Same Rubric Item,Human-LLM Correlations,0.5093433339110714,0.4244429987070942,0.579416284481059
gemini-2.5-flash,On the Same Rubric Item,Human-LLM Correlations,0.5182458408978212,0.4309583111800119,0.5867444085015294
gpt-4.1,On the Same Rubric Item,Human-LLM Correlations,0.4710161568519167,0.3703243447091766,0.5476473810316304
o3,On the Same Rubric Item,Human-LLM Correlations,0.5467121614361758,0.4797989212557987,0.6030966122752347
sonnet-4.6,On the Same Rubric Item,Human-LLM Correlations,0.4884086625869431,0.38328436652717024,0.5666016376203835
