Model,Condition_Row,Condition_Col,dCor_Sq
gpt-4.1,On the Same Rubric Item,Human-LLM Correlations,0.902997646666238
gpt-4.1,On the Same Rubric Item,Human-LLM Correlations,0.5538032807208564
gpt-4.1,On the Same Rubric Item,Human-LLM Correlations,0.44040325574409656
gpt-4.1,On the Same Rubric Item,Human-LLM Correlations,0.012821760527169882
gpt-4.1,On the Same Rubric Item,Human-LLM Correlations,0.902997646666238
gpt-4.1,On the Same Rubric Item,Human-LLM Correlations,0.46992001289659346
gpt-4.1,On the Same Rubric Item,Human-LLM Correlations,0.4648538269575742
gpt-4.1,On the Same Rubric Item,Human-LLM Correlations,0.005863480004177002
gpt-4.1,On the Same Rubric Item,Human-LLM Correlations,0.902997646666238
gpt-4.1,On the Same Rubric Item,Human-LLM Correlations,0.4822964238527371
gpt-4.1,On the Same Rubric Item,Human-LLM Correlations,0.4941306135991084
gpt-4.1,On the Same Rubric Item,Human-LLM Correlations,0.04284744428422413
gpt-4.1,On the Same Rubric Item,Human-LLM Correlations,0.8786939020104818
gpt-4.1,On the Same Rubric Item,Human-LLM Correlations,0.587332379286176
gpt-4.1,On the Same Rubric Item,Human-LLM Correlations,0.4386614652499906
gpt-4.1,On the Same Rubric Item,Human-LLM Correlations,0.0453882563974279
gpt-4.1,On the Same Rubric Item,Human-LLM Correlations,0.8172429832322357
gpt-4.1,On the Same Rubric Item,Human-LLM Correlations,0.5644956570591942
gpt-4.1,On the Same Rubric Item,Human-LLM Correlations,0.40856125809846133
gpt-4.1,On the Same Rubric Item,Human-LLM Correlations,0.004014197119116828
gpt-4.1,On the Same Rubric Item,Between-LLMs Correlations,0.902997646666238
gpt-4.1,On the Same Rubric Item,Between-LLMs Correlations,0.6243548947577683
gpt-4.1,On the Same Rubric Item,Between-LLMs Correlations,0.644162306720274
gpt-4.1,On the Same Rubric Item,Between-LLMs Correlations,0.5690141500788383
gpt-4.1,On the Same Rubric Item,Between-LLMs Correlations,0.8786939020104818
gpt-4.1,On the Same Rubric Item,Between-LLMs Correlations,0.5930935787753732
gpt-4.1,On the Same Rubric Item,Between-LLMs Correlations,0.6324113461810457
gpt-4.1,On the Same Rubric Item,Between-LLMs Correlations,0.5669091892377033
gpt-4.1,On the Same Rubric Item,Between-LLMs Correlations,0.8701818407295955
gpt-4.1,On the Same Rubric Item,Between-LLMs Correlations,0.606886608434472
gpt-4.1,On the Same Rubric Item,Between-LLMs Correlations,0.6784053382693855
gpt-4.1,On the Same Rubric Item,Between-LLMs Correlations,0.5348501648139483
gpt-4.1,On the Same Rubric Item,Between-LLMs Correlations,0.902997646666238
gpt-4.1,On the Same Rubric Item,Between-LLMs Correlations,0.6743658047325068
gpt-4.1,On the Same Rubric Item,Between-LLMs Correlations,0.6471848297630148
gpt-4.1,On the Same Rubric Item,Between-LLMs Correlations,0.5283637297504351
