human,row,col,dcor2,ci_lo,ci_hi
human_1,On Different Rubric Items,Between-Humans Correlations,0.5436761015488653,0.4026812450016577,0.647936343237849
human_1,On Different Rubric Items,Human-LLM Correlations,0.4168696024832998,0.2846344389680334,0.52148588015621
human_1,On Different Rubric Items,Within-Human Correlations,0.7711561741942966,0.6111975632560217,0.8837516465018023
human_1,On the Same Rubric Item,Between-Humans Correlations,0.6590151589080239,0.5557988949679574,0.7299674407183768
human_1,On the Same Rubric Item,Human-LLM Correlations,0.5047090836562041,0.4035226002258578,0.580302603036611
human_2,On Different Rubric Items,Between-Humans Correlations,0.44941051496884854,0.3076265089358451,0.5604572522024244
human_2,On Different Rubric Items,Human-LLM Correlations,0.31318366480979104,0.18217923925553106,0.42378947149002105
human_2,On Different Rubric Items,Within-Human Correlations,0.4157050585463284,0.246268819411148,0.5634300564887856
human_2,On the Same Rubric Item,Between-Humans Correlations,0.6459818190754899,0.5525112622992999,0.7192077524642185
human_2,On the Same Rubric Item,Human-LLM Correlations,0.4956038164587427,0.4246402889478461,0.5573951587328125
human_3,On Different Rubric Items,Between-Humans Correlations,0.5054601219642002,0.35834472523810207,0.6122772868795764
human_3,On Different Rubric Items,Human-LLM Correlations,0.3777487115968391,0.24366148300362128,0.4824708280758286
human_3,On Different Rubric Items,Within-Human Correlations,0.6199315042530938,0.432406345857675,0.7559159548690836
human_3,On the Same Rubric Item,Between-Humans Correlations,0.6805249242845838,0.5836478448339734,0.7462556327639152
human_3,On the Same Rubric Item,Human-LLM Correlations,0.5210903418473096,0.44015679864655216,0.5863265801085512
human_4,On Different Rubric Items,Between-Humans Correlations,0.3693725122641916,0.2672465273045075,0.4491653379704083
human_4,On Different Rubric Items,Human-LLM Correlations,0.21810060469304546,0.13814789615402748,0.28439768787470465
human_4,On Different Rubric Items,Within-Human Correlations,0.2437505200564866,0.17760458051630587,0.304610299582762
human_4,On the Same Rubric Item,Between-Humans Correlations,0.5778944399795054,0.5120757055545936,0.6297567023688341
human_4,On the Same Rubric Item,Human-LLM Correlations,0.5074158971761416,0.4197170859423689,0.5889773606605696
human_5,On Different Rubric Items,Between-Humans Correlations,0.33591351886487364,0.21098019685962127,0.4391800939116223
human_5,On Different Rubric Items,Human-LLM Correlations,0.1836781074767958,0.08908061819377501,0.26931920919857233
human_5,On Different Rubric Items,Within-Human Correlations,0.22893899346499838,0.13286353714457008,0.30997712512524805
human_5,On the Same Rubric Item,Between-Humans Correlations,0.5255196688359072,0.40234800571928625,0.6150235136381204
human_5,On the Same Rubric Item,Human-LLM Correlations,0.5049070165455302,0.3740741637093253,0.6051527925725187
