Model,Condition_Row,Condition_Col,dCor_Sq,ci_lo,ci_hi
deepseek-v4-flash,On Different Rubric Items,Between-LLMs Correlations,0.176704771006112,0.1339777814990727,0.2264262194562853
gemini-2.5-flash,On Different Rubric Items,Between-LLMs Correlations,0.12550486163115637,0.08813066121589415,0.1688196827665701
gpt-4.1,On Different Rubric Items,Between-LLMs Correlations,0.261946273284967,0.2173964844450272,0.3109801869154356
o3,On Different Rubric Items,Between-LLMs Correlations,0.21060152441115274,0.1631426767754065,0.25991494231170365
sonnet-4.6,On Different Rubric Items,Between-LLMs Correlations,0.26819180851729724,0.22445935064494227,0.3120521038140212
deepseek-v4-flash,On Different Rubric Items,Human-LLM Correlations,0.06671486745421354,0.03414743618507604,0.10160762092881061
gemini-2.5-flash,On Different Rubric Items,Human-LLM Correlations,0.040171373096235856,0.012869588558300775,0.07779666540902744
gpt-4.1,On Different Rubric Items,Human-LLM Correlations,0.08905719847872773,0.04438808079645558,0.1360596794780926
o3,On Different Rubric Items,Human-LLM Correlations,0.053411487596244867,0.02847688407069371,0.08464935130946546
sonnet-4.6,On Different Rubric Items,Human-LLM Correlations,0.10891856013773392,0.05397291641758804,0.17325254358049486
deepseek-v4-flash,On Different Rubric Items,Within-LLM Correlations,0.3658630326649772,0.2911351456262464,0.44662776832625967
gemini-2.5-flash,On Different Rubric Items,Within-LLM Correlations,0.39120030292232144,0.32769382330109337,0.457375484461297
gpt-4.1,On Different Rubric Items,Within-LLM Correlations,0.4936958703741286,0.41358161373785435,0.5760570861701837
o3,On Different Rubric Items,Within-LLM Correlations,0.44777128474026506,0.37708379858911234,0.5204125563361004
sonnet-4.6,On Different Rubric Items,Within-LLM Correlations,0.5685630646139884,0.5144068208261612,0.6213178920785976
deepseek-v4-flash,On the Same Rubric Item,Between-LLMs Correlations,0.2576814973190208,0.20573307772121055,0.3114552709786251
gemini-2.5-flash,On the Same Rubric Item,Between-LLMs Correlations,0.17613697857507815,0.13275991240696688,0.2233183193166694
gpt-4.1,On the Same Rubric Item,Between-LLMs Correlations,0.3413309245564066,0.29494749016226157,0.3882635409551151
o3,On the Same Rubric Item,Between-LLMs Correlations,0.28887548658132994,0.23818175447055645,0.33811547088844235
sonnet-4.6,On the Same Rubric Item,Between-LLMs Correlations,0.35278096547346577,0.30883481523879724,0.394642975587273
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.06398440229465487,0.03376113822039606,0.0970407534027204
gemini-2.5-flash,On the Same Rubric Item,Human-LLM Correlations,0.048807268602067765,0.02099243107109986,0.08747518103131421
gpt-4.1,On the Same Rubric Item,Human-LLM Correlations,0.08360222455415832,0.04402821498319781,0.12583140120180297
o3,On the Same Rubric Item,Human-LLM Correlations,0.06330097467022743,0.03749791516238106,0.09466643406165279
sonnet-4.6,On the Same Rubric Item,Human-LLM Correlations,0.11625374355951858,0.06358628554386511,0.17786180080170683
