Model,Condition_Row,Condition_Col,dCor_Sq
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.3357615081680837
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.06768369456487976
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.0
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.01548681211243501
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.0
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.048869262240467656
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.06520921253132408
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.05174999102980834
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.08850687211950227
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.4807782148252526
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.13260503917725697
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.12748557298248483
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.07556708892668854
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.08351986349562865
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.0
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.11661317725760019
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.0
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.0
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.0
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.01825780926378935
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.0
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.09728846233249402
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.007110134308548486
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.0
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.006109616223631924
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.002149380750321533
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.020524269899497183
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.006850144368407658
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.10627456539194022
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.20694295990543066
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.0
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.005959314224167098
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.1235742488603614
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.006660855119336291
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.050801937423135095
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.0
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.10539147234324779
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.0
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.0
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.0
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.2716460786897931
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.1153690402611529
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.0401129287896344
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.0
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.22606353660598522
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.13134895607019967
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.029294106642043755
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.019447990320698928
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.09830183860514141
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.12295590619048204
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.020012447720599985
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.012897277075694352
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.0
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.017310184286614978
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.003289188222869856
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.0
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.0
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.16227041237164636
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.19409342486333228
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.05343535337412439
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.007350294083056688
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.05142536029963869
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.18303652573311396
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.07340062939133848
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.0
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.0
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.0
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.0160576395965961
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.3552882817237682
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.000778419224156718
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.0
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.0
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.5599839721104601
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.0
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.0008509144301056141
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.0
deepseek-v4-flash,On the Same Rubric Item,Human-LLM Correlations,0.2835745422211788
