system,key,s2_student,s2_student_lo,s2_student_hi,s2_rater,s2_rater_lo,s2_rater_hi,s2_sr,s2_sr_lo,s2_sr_hi,rho2,rho2_lo,rho2_hi,phi,phi_lo,phi_hi
human,composite,4.858979797979799,2.7469176767676773,6.771342929292931,0.02412121212121212,0.011188888888888878,0.056011616161616165,0.48287878787878785,0.36666540404040404,0.6043994949494949,0.90960472275378,0.8610005921202423,0.932188086595807,0.9055158574784652,0.848913920577731,0.9293730120692767
llm,composite,3.356979797979799,2.0767050505050504,4.4837931818181795,0.021606060606060594,0.013312878787878787,0.037475,0.19239393939393937,0.1488560606060606,0.23742626262626265,0.9457949616947647,0.9100287569049972,0.9642557155896659,0.9400724697123558,0.8994336217112426,0.9602322286206506
human,conditional_logic,0.511020202020202,0.3873585858585859,0.6108790404040402,0.015878787878787874,0.0082010101010101,0.029566414141414133,0.13912121212121215,0.10087828282828282,0.1754848484848485,0.7860139208253061,0.7078026380721028,0.8487253720640684,0.7672743266197525,0.6774295277121929,0.837828190799608
llm,conditional_logic,0.4832424242424242,0.35092803030303044,0.588344696969697,0.0032020202020202043,0.001303030303030306,0.008203535353535343,0.0867979797979798,0.062402777777777786,0.11301136363636362,0.8477336357514973,0.78270370227944,0.8973904750029911,0.8429983612623566,0.7735950925124588,0.8936171983749455
human,input,0.4237373737373737,0.22640404040404044,0.594909090909091,0.0,0.0,0.0004848484848484848,0.01002020202020202,0.0,0.0275959595959596,0.9768990731684597,0.9233266316091251,1.0,0.9768990731684597,0.922316384180791,1.0
llm,input,0.41869696969696973,0.22426262626262639,0.5885361111111113,0.0003737373737373739,1.0101010101010264e-05,0.001899242424242424,0.017626262626262625,0.006898989898989899,0.030070707070707074,0.9596027409945366,0.9079018958760857,0.9850291027816078,0.9587814863645826,0.9048892180011554,0.9848841478855406
human,printing,0.39482828282828286,0.216914393939394,0.5571434343434345,0.009727272727272725,0.004312626262626264,0.020427272727272714,0.08927272727272728,0.05845328282828283,0.12078055555555556,0.815590702332763,0.6866092996234584,0.8883560433547173,0.7995254556239645,0.6592918880976828,0.8796044186438684
llm,printing,0.42845454545454553,0.3084035353535354,0.5333921717171718,0.0042525252525252525,0.0016262626262626252,0.010202272727272726,0.07774747474747476,0.05215075757575758,0.1039611111111111,0.8464101847787046,0.7700341077478146,0.9038131335717792,0.8393588601959039,0.7561940398083687,0.8998781817686368
human,syntax_errors,0.12685858585858592,0.07654722222222224,0.1704151515151515,0.0067979797979797986,0.0,0.02630378787878787,0.20320202020202022,0.1351469696969697,0.2654083333333333,0.38434936956787863,0.3367394354392497,0.4254885181901526,0.37659300128939405,0.3331217517964257,0.40806247264700846
llm,syntax_errors,0.11378787878787877,0.014695202020202008,0.2304712121212121,8.080808080808081e-05,0.0,0.0009494949494949492,0.01691919191919192,0.00598989898989899,0.028759595959595954,0.8705564142194745,0.5338849487785656,0.9429492118926686,0.8700185356811861,0.5328352339756192,0.9423301800251626
