system,key,s2_student,s2_student_lo,s2_student_hi,s2_rater,s2_rater_lo,s2_rater_hi,s2_sr,s2_sr_lo,s2_sr_hi,s2_group,s2_group_lo,s2_group_hi,total,total_lo,total_hi,rho2,rho2_lo,rho2_hi,phi,phi_lo,phi_hi
human,code_elegance,3.0331082021700095,1.4337982229105883,4.841813533253773,1.4522638488283421,1.232044906952188,1.850987533542691,3.7909220506169805,3.190362830689171,4.286191206342237,0.2468952401589481,0.005112722602156261,0.7822769938869673,8.276294101615333,6.6158272479459495,10.013139825456934,0.4444746124815703,0.27170267249062297,0.5768510761912682,0.3664814426517323,0.20858746710241938,0.48937706464981595
llm,code_elegance,2.2857404399061396,1.82835363966891,2.921025115391558,2.485848740362549,2.2689009115288417,2.7292417678760215,1.8919290374152296,1.6842346445424305,2.1465641035558645,0.0,0.0,0.0,6.663518217683918,6.127608300456409,7.309518965472782,0.5471329056341975,0.48404170229332893,0.6090202400301572,0.3430230645787308,0.2876888702806162,0.40421707164990345
human,composite,52.323467467848594,26.43289382316227,82.41815210421893,16.03054949588364,13.744553066499646,20.201717483962003,34.04963162437742,27.461483723477762,40.340106323417416,2.0908168678984125,0.00010026928748666473,9.469068574244659,102.40364858810966,75.68093907937876,132.16576033472592,0.6057843011049021,0.4408684944206491,0.7177669132739023,0.510953156349978,0.33556818091237484,0.6296787253132526
llm,composite,29.547047523271697,22.606394400608544,41.35394600448673,35.326091384956555,32.28889978339908,39.03139936437946,25.71656094479255,23.07710705629045,28.765404386168484,0.0,0.0,0.0,90.5896998530208,82.36544177561179,101.83120306980223,0.5346565007666185,0.4614759450528112,0.6193609988177419,0.3261634332734399,0.26491696657263225,0.40631945183520635
human,correctness,5.8849505292726745,3.6726668436258723,8.222839105762597,0.5272783827650978,0.5400058351152839,2.1677575949506145,5.916525465056497,4.631633105924481,6.879804467325438,0.3976113374139859,0.000725066115115818,2.16641367256518,12.32875437709427,10.206785383415847,14.991078092247033,0.49866224632414646,0.3847579932086213,0.603388323113315,0.4773353697601754,0.34109569357209213,0.5709578760248242
llm,correctness,4.028651917175937,2.652315856991826,5.731650808385548,3.996257187798149,3.453261100796783,4.5819479577628215,5.2026675433846465,4.641184761867925,5.808304066424281,0.0,0.0,0.0,13.227576648358731,11.837044267811557,14.885900795492637,0.43641127732473595,0.3334296250125921,0.5346421889910006,0.3045646246681027,0.2226353606865574,0.39502195380759886
human,documentation,2.942757214916098,1.331079270566012,4.827153154127544,1.2909540095401077,1.1235619587227448,1.74138295048427,3.873549007992582,3.18100662430526,4.524337610685127,0.10596878766152265,4.771796879561453e-08,0.8230724323730159,8.107260232448787,6.435925680476724,10.025688693452084,0.4317231530804603,0.2570783625509772,0.5805399720928377,0.36297801360043946,0.2001786415985661,0.49361034141192467
llm,documentation,1.5245403677058351,1.0508492883112863,2.2473967922436238,1.6757871122456882,1.536525585982826,1.8596801913308072,1.7697326010159613,1.5302988576880432,2.0100453185838423,0.0,0.0,0.0,4.970060080967485,4.471007742193342,5.776482974910394,0.4627850764587273,0.3653130324857889,0.5674579417259715,0.3067448567762714,0.22810646783875677,0.3972638894754063
human,readability,3.0234337258052686,1.3791262207480413,4.9145922659640275,1.3910933744133507,1.1718983413003334,1.7583817532182469,2.789655732327103,2.266076672887699,3.1476125673683817,6.542308253953456e-09,5.318896880859321e-09,0.4641499679460643,7.2041828325457224,5.471164692238208,9.237824666168365,0.5201078957378779,0.3368578560256049,0.6452496377306792,0.4196775395741707,0.24678897359349541,0.5427605804068956
llm,readability,1.300807096258477,0.8893556445166446,2.0645887161238754,1.4138134653567478,1.2829322026249965,1.5674321510533504,1.4840359970088444,1.2889816211546892,1.761968006240169,0.0,0.0,0.0,4.198656558624069,3.690989176400814,4.991940737732394,0.4671024731710479,0.36102644562913033,0.5778411756221147,0.3098150749164302,0.23051920127433861,0.4143922302891744
